1,10,1,322.5,50,2,100
1,11,1,333,75,3,100
1,12,1,434.3,50,2,100
1,13,1,456.4,100,4,100
1,14,1,556.5,70,2,100
1,15,1,113.7,75,2,100
1,20,2,500,150,2,100
1,21,2,320,0,1,100
1,22,2,250,100,2,100
1,23,2,273.9,60,3,100
pular
3,232,1,500.4,80,3,300
3,123,1,756.3,100,3,300
3,754,1,999.99,200,3,300
3,34,1,665.4,100,3,300
3,622,1,754.2,70,2,300
3,675,1,838.7,500,2,300
3,345,2,964.4,195,5,300
3,241,2,548.4,120,6,300
3,1,2,700,100,2,300
3,245,2,800,530,3,300
pular
2,1,1,400.5,50,2,200
2,2,1,120,100,3,200
2,3,1,434.3,60,3,200
2,4,1,300.4,70,2,200
2,5,1,522.5,80,5,200
2,10,1,112.7,0,1,200
2,11,2,600,100,5,200
2,12,2,228,180,2,200
2,13,2,222,50,3,200
2,14,2,234.5,40,3,200
